,Employee_No,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Net Salary,Marital_Status
131,572,0,1,84,0,2,0.7333333333333343,0.046944125839750946,0,1.0,0.0,0.24667490658202068,1
132,573,1,1,24,0,2,0.7666666666666728,0.051941668032115355,0,1.0,0.0,0.297651350699865,0
133,574,0,1,104,0,2,0.6166666666666671,0.0947894478125512,0,1.0,0.0,0.11616003664705526,1
134,576,0,1,143,0,2,0.8833333333333329,0.07234147140750452,0,1.0,0.0,0.15704504233173844,0
135,582,1,1,22,1,2,0.31666666666667,0.7024414222513519,1,0.0,1.0,0.378531016643016,1
136,583,1,1,7,1,2,0.5833333333333357,0.576273963624447,0,0.0,1.0,0.30874194714623127,1
137,584,1,1,36,1,2,0.7000000000000028,0.10158938227101426,1,1.0,0.0,0.2983470591067639,1
138,585,1,1,8,0,2,0.7333333333333343,0.10199901687694576,0,1.0,0.0,0.2895955068009018,1
139,586,1,1,22,0,2,0.6523809523809518,0.10232672456169097,0,1.0,0.0,0.21674179299794935,1
140,589,1,1,36,0,2,0.25,0.10232672456169097,0,1.0,0.0,0.10822728853050388,1
141,590,1,5,22,0,2,0.6380952380952394,0.10232672456169097,0,1.0,0.0,0.09498275806086683,0
142,591,1,1,22,0,2,0.81666666666667,0.10232672456169097,0,1.0,0.0,0.24166106479018493,0
143,592,1,1,22,0,2,0.75,0.10117974766508275,0,1.0,0.0,0.142285971828032,0
144,594,1,1,22,0,2,0.7666666666666728,0.10224479764050468,0,1.0,0.0,0.142285971828032,0
145,595,1,1,27,0,2,0.7833333333333385,0.10232672456169097,0,1.0,0.0,0.05712860636160235,1
146,596,1,1,22,1,2,0.75,0.10060625921677864,1,1.0,0.0,0.13519719080407677,0
147,597,0,1,157,1,2,0.7000000000000028,0.09233164017696216,0,1.0,0.0,0.29084489213021364,0
148,599,1,1,22,0,2,0.25,0.08880878256595116,0,1.0,0.0,0.06667238272838646,1
149,601,0,1,48,0,2,0.8333333333333357,0.054809110273635914,1,1.0,0.0,0.04256108790741682,0
150,603,1,3,22,0,2,0.7833333333333385,0.08938227101425529,0,1.0,0.0,0.22399459516154913,0
151,604,1,1,33,0,2,0.5833333333333357,0.04620678354907423,1,1.0,0.0,0.03774256550253976,1
152,605,1,1,6,0,2,0.6333333333333329,0.09224971325577586,1,1.0,0.0,0.3242822164630446,1
153,606,1,1,7,1,2,0.8333333333333357,0.09208585941340325,0,1.0,0.0,0.1814371731907841,1
154,607,0,1,89,0,2,0.7833333333333385,0.04227429133213174,0,1.0,0.0,0.08364158953572139,0
155,608,1,3,22,0,2,0.8000000000000043,0.03768638374569883,0,1.0,0.0,0.11516505753918412,0
156,609,0,1,84,0,2,0.6666666666666714,0.0902834671473046,0,1.0,0.0,0.1320312697787452,1
157,610,1,3,9,0,2,0.81666666666667,0.0808618712108799,0,1.0,0.0,0.15834070817273466,1
158,611,1,1,27,0,2,0.4166666666666714,0.06980173685072916,0,1.0,0.0,0.09608530192958467,1
159,614,1,1,7,0,2,0.0,0.06234638702277569,0,1.0,0.0,0.00969607199671492,1
160,615,1,1,33,0,2,0.6714285714285708,0.08012452892020318,0,1.0,0.0,0.13921698995412393,1
161,616,1,3,8,0,2,0.7833333333333385,0.07783057512698674,0,1.0,0.0,0.08774174463335327,0
162,617,1,5,33,0,2,0.8000000000000043,0.11051941668032116,0,1.0,0.0,0.18001854994962518,0
163,618,1,1,64,0,2,0.6333333333333329,0.07766672128461413,0,1.0,0.0,0.06089698882397041,1
164,619,1,1,27,0,2,0.75,0.06046206783549074,1,1.0,0.0,0.013406376860659389,0
165,620,1,1,27,1,2,0.7833333333333385,0.10306406685236769,1,1.0,0.0,0.10085083586254531,0
166,621,1,1,8,0,2,0.6833333333333371,0.07234147140750452,1,1.0,0.0,0.11586889351731916,0
167,622,1,1,36,0,2,0.7333333333333343,0.0986400131083074,0,1.0,0.0,0.16255661524997056,0
168,624,1,1,108,1,2,0.7666666666666728,0.0986400131083074,1,1.0,0.0,0.4393685941499892,0
169,625,1,1,6,0,2,0.31666666666667,0.0807799442896936,1,1.0,0.0,0.5020301224706047,1
170,626,0,1,48,0,2,0.7833333333333385,0.06480419465836473,0,1.0,0.0,0.04851476467379186,0
171,627,1,1,22,1,2,0.7333333333333343,0.09970506308372933,1,1.0,0.0,0.14937475285198717,0
172,628,1,1,6,0,2,0.5833333333333357,0.07373422906767164,0,1.0,0.0,0.31697977801821875,1
173,629,1,1,48,0,2,0.7833333333333385,0.07840406357529084,0,1.0,0.0,0.10555400950506155,0
174,630,1,1,27,0,2,0.7166666666666686,0.050548910371948225,0,1.0,0.0,0.018492396924925967,0
175,631,1,1,33,0,2,0.7666666666666728,0.12018679338030477,0,1.0,0.0,0.06895244382109551,0
176,633,1,1,33,0,2,0.7333333333333343,0.10429297067016222,0,1.0,0.0,0.06706381242843476,1
177,634,1,1,64,1,2,0.4166666666666714,0.09978699000491562,0,1.0,0.0,0.24241669748276318,1
178,635,1,3,27,0,2,0.8333333333333357,0.0985580861871211,0,1.0,0.0,0.054352708547769656,0
179,636,1,3,36,1,2,0.8000000000000043,0.0985580861871211,0,1.0,0.0,0.2703406845236854,0
180,638,1,1,22,0,2,0.7166666666666686,0.09773881697525807,0,1.0,0.0,0.2123840763250063,1
181,639,1,3,22,0,2,0.7166666666666686,0.0894641979354416,0,1.0,0.0,0.2753933997980254,0
182,640,1,1,8,0,2,0.3333333333333357,0.09773881697525807,0,1.0,0.0,0.7798884381871819,1
183,641,1,1,22,0,2,0.6833333333333371,0.09732918236932657,0,1.0,0.0,0.22210194710481204,1
184,642,1,3,7,0,2,0.10000000000000142,0.04653449123381943,0,1.0,0.0,0.0452532668464206,1
185,643,1,3,22,0,2,0.6500000000000057,0.10503031296083894,0,1.0,0.0,0.09498275806086683,1
186,644,1,1,8,0,2,0.8333333333333357,0.07668359823037851,0,1.0,0.0,0.06672072227250204,0
187,645,1,3,33,0,2,0.6833333333333371,0.06701622153039488,0,1.0,0.0,0.22071630894286623,0
188,646,1,3,36,1,2,0.6833333333333371,0.0943798132066197,0,1.0,0.0,0.2973017362980655,1
189,649,1,4,6,0,2,0.4166666666666714,0.09339669015238408,1,1.0,0.0,0.534979841440235,1
190,650,1,1,64,1,2,0.36666666666666714,0.09331476323119778,0,1.0,0.0,0.24345403945312757,1
191,651,1,3,6,0,2,0.38333333333333286,0.09323283631001147,1,1.0,0.0,0.5186262077880427,1
192,652,1,3,33,0,2,0.6833333333333371,0.09323283631001147,0,1.0,0.0,0.17996664944849508,1
193,653,1,1,7,1,2,0.5,0.09282320170407996,0,1.0,0.0,0.15725017492888183,1
194,654,1,1,64,0,2,0.38333333333333286,0.09323283631001147,0,1.0,0.0,0.2429353684679454,1
195,655,1,1,54,0,2,0.5833333333333357,0.09306898246763887,0,1.0,0.0,0.0717606884856647,0
196,656,1,1,35,0,2,0.7666666666666728,0.05341635261346879,0,1.0,0.0,0.046738308795365086,1
197,658,1,1,8,0,2,0.7000000000000028,0.09224971325577586,0,1.0,0.0,0.3389829182884241,1
198,659,1,3,8,1,2,0.5833333333333357,0.5114697689660822,0,1.0,0.0,0.29715925507126983,1
199,660,1,1,102,0,2,0.5333333333333385,0.12223496640996231,0,1.0,0.0,0.09999459688894133,1
200,662,1,1,39,0,2,0.7833333333333385,0.07946911355071276,0,1.0,0.0,0.04448421942632871,0
201,663,1,1,7,0,2,0.7833333333333385,0.10978207438964445,0,1.0,0.0,0.2583587775542112,0
202,664,1,1,8,1,2,0.7000000000000028,0.10371948222185812,0,1.0,0.0,0.3828305244929889,1
203,665,1,1,7,0,2,0.8000000000000043,0.13583483532688842,0,1.0,0.0,0.24720539493409932,0
204,666,1,1,80,0,2,0.6500000000000057,0.1259216778633459,0,1.0,0.0,0.11678696907613154,1
205,667,1,1,6,0,2,0.6166666666666671,0.07135834835326889,0,1.0,0.0,0.18944684036474974,1
206,668,1,1,36,0,2,0.6666666666666714,0.13124692774045552,0,1.0,0.0,0.011263208022011348,0
207,670,1,1,22,0,2,0.6833333333333371,0.0988857938718663,0,1.0,0.0,0.22210194710481204,1
208,671,1,3,6,0,2,0.75,0.10871702441422253,0,1.0,0.0,0.11377799499443252,0
209,672,1,5,24,0,2,0.5,0.0947894478125512,0,1.0,0.0,0.12962554209546143,1
210,673,1,5,73,1,2,0.5333333333333385,0.09339669015238408,1,1.0,0.0,0.6519927290816913,1
