,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Marital_Status_Married,Marital_Status_Single,Employment_Type_Contarct Basis,Employment_Type_Permanant
24,1,1,24,1,2,1994.0,10.621917808219179,0,1.0,0.0,1.0,0.0
25,1,1,8,1,2,1989.0,10.580821917808219,0,1.0,0.0,1.0,0.0
26,1,1,49,1,2,1986.0,10.495890410958904,0,1.0,0.0,1.0,0.0
27,1,1,22,0,2,1989.0,10.126027397260273,0,1.0,0.0,1.0,0.0
28,1,1,24,1,2,1994.0,10.054794520547945,0,1.0,0.0,1.0,0.0
29,1,1,37,0,2,1960.0,9.942465753424658,0,1.0,0.0,1.0,0.0
30,1,5,22,1,2,1989.0,9.90958904109589,1,1.0,0.0,1.0,0.0
31,1,5,6,1,2,1965.0,9.758904109589041,1,1.0,0.0,1.0,0.0
32,1,1,46,0,2,1993.0,8.479452054794521,0,1.0,0.0,1.0,0.0
33,1,1,67,1,2,1993.0,9.36986301369863,0,0.0,1.0,1.0,0.0
34,1,3,27,0,2,1989.0,7.594520547945206,0,1.0,0.0,1.0,0.0
35,1,3,27,1,2,1988.0,8.942465753424658,0,0.0,1.0,1.0,0.0
36,1,1,7,1,2,1972.0,8.854794520547944,0,1.0,0.0,1.0,0.0
37,1,1,24,0,2,1995.0,8.863013698630137,0,0.0,1.0,1.0,0.0
38,1,1,43,0,2,1992.0,8.67123287671233,0,1.0,0.0,1.0,0.0
39,1,1,36,1,2,1987.0,8.583561643835617,1,0.0,1.0,1.0,0.0
40,1,1,27,0,2,1986.7142857142858,8.56986301369863,0,0.0,0.0,1.0,0.0
41,1,3,8,0,2,1990.0,8.295890410958904,0,0.0,1.0,1.0,0.0
42,1,1,8,1,2,1990.0,8.257534246575343,0,0.0,1.0,1.0,0.0
43,1,1,52,0,2,1995.0,6.317808219178082,0,0.0,1.0,1.0,0.0
44,1,1,24,1,2,1992.7142857142858,7.684931506849315,0,1.0,0.0,1.0,0.0
45,1,1,35,0,2,1997.0,7.676712328767123,0,0.0,1.0,1.0,0.0
46,1,3,54,0,2,1985.0,6.586301369863014,0,0.0,1.0,1.0,0.0
47,1,4,36,0,2,1982.0,6.153424657534247,0,0.0,0.0,1.0,0.0
48,1,3,27,0,2,1986.0,5.8191780821917805,0,1.0,0.0,1.0,0.0
49,1,1,22,0,2,1988.0,5.772602739726027,0,1.0,0.0,1.0,0.0
50,1,1,24,1,2,1995.0,7.33972602739726,0,1.0,0.0,1.0,0.0
51,1,1,24,0,2,1997.0,6.6657534246575345,0,0.0,1.0,1.0,0.0
52,0,1,8,0,2,1981.0,5.235616438356164,0,1.0,0.0,1.0,0.0
53,1,1,57,1,2,1987.0,6.6438356164383565,0,0.0,0.0,1.0,0.0
54,1,1,24,0,2,1988.0,6.605479452054794,0,0.0,1.0,1.0,0.0
55,1,1,38,0,2,1965.0,6.046575342465753,0,1.0,0.0,1.0,0.0
56,1,1,58,0,2,1962.0,1.3150684931506849,0,1.0,0.0,1.0,0.0
57,0,1,48,1,2,1980.0,6.298630136986302,0,1.0,0.0,1.0,0.0
58,1,1,62,1,1,1947.0,4.002739726027397,0,1.0,0.0,1.0,0.0
59,1,1,63,0,2,1993.0,5.906849315068493,0,1.0,0.0,1.0,0.0
60,1,1,64,0,2,1972.0,4.589041095890411,0,1.0,0.0,1.0,0.0
61,1,1,22,1,2,1988.0,6.049315068493151,1,0.0,1.0,1.0,0.0
